prefix	title	tag	label	flag	num	text_1	text_2	text_3	text_4	text_5	text_6	text_7	text_8	text_9	text_10	text_11	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10	score_11
教育部	中华人民共和国|教育部|官网	网站	0	train	10	教育部|2018|取消|自考	教育部|考试|中心	教育部|青少年|普法网	教育部|官网	教育部|考试|中心|官网	教育部|网站	教育部|直属|师范大学	教育部|开学|第一|课	教育部|全国|青少年|网	教育部|部长	PAD	0.126	0.087	0.057	0.034	0.019	0.017	0.015	0.013000000000000001	0.012	0.011000000000000001	0.0
红烧|茄子	红烧|茄子	百科	0	train	10	红烧|茄子|的|做法	红烧|茄子|的|家常|做法	红烧|茄子|最|简单|的|做法	红烧|茄子|做法	红烧|茄子|怎么|做	红烧|茄子|的|做法|大全	红烧|茄子|的|做法|步骤	红烧|茄子|的|家常|做法|11	红烧|茄子|怎么|做|好吃	红烧|茄子|怎么|做	PAD	0.245	0.111	0.034	0.033	0.025	0.015	0.013000000000000001	0.01	0.005	0.005	0.0
苏	苏宁易购	百科	0	train	8	苏宁易购	苏青	苏|有|朋	苏州|天气	苏州|大学	苏州	苏炳添	苏州|天气|预报	PAD	PAD	PAD	0.03	0.022000000000000002	0.02	0.018000000000000002	0.017	0.013000000000000001	0.012	0.008	0.0	0.0	0.0
梦幻西游|口袋	道友|请|留步	游戏	0	train	10	梦幻西游|口袋|版	梦幻西游|口袋|版|下载	梦幻西游|口袋|版|官网	梦幻西游|口袋版|攻略	梦幻西游|口袋|版刷|帮贡	梦幻西游|口袋|版|官方	梦幻西游|口袋|刷|帮贡	梦幻西游|口袋|600|点|炼兽	梦幻西游|口袋|版|修行	梦幻西游|口袋|版|刷|经验	PAD	0.5529999999999999	0.292	0.040999999999999995	0.009000000000000001	0.009000000000000001	0.009000000000000001	0.008	0.005	0.005	0.005	0.0
水生|植物	水生|植物	百科	1	train	10	水生|植物|图片|及|名称	水生|植物|浮床	水生|植物|有|哪些	水生|植物|大全	水生|植物|种植	水生|植物|家|养	水生|植物|浮岛	水生|植物|分类	水生|植物|教案	水生|植物|图片	PAD	0.138	0.106	0.066	0.053	0.021	0.018000000000000002	0.015	0.013000000000000001	0.012	0.01	0.0
混世	混世|房东|俏|房客	阅读	0	train	10	混世|小|农民	混世|小|农民|马小乐|全集	混世|刁民	混世|小|刁民	混世|四|猴	混世|小|农民|马小乐	混世|小|神棍	混世|小|农民|小农民	混世|矿工	混世|刁民|全文|阅读	PAD	0.16	0.10400000000000001	0.061	0.052000000000000005	0.042	0.039	0.025	0.02	0.019	0.016	0.0
胜利	胜利|之|路	影视	1	train	10	胜利|之|路	胜利|之|路|电视剧|全集	胜利|之|路|演员表	胜利|花|怎么|做	胜利|之|路|全集|在线|直播	胜利|油田|吧	胜利|足球	胜利|之|路|电视剧	胜利|之|路|全集|在线|38|集	胜利|英文	PAD	0.152	0.138	0.027000000000000003	0.022000000000000002	0.018000000000000002	0.017	0.016	0.015	0.013999999999999999	0.011000000000000001	0.0
耳食	耳食者	百科	0	train	8	耳食症	耳食症|是|怎么|回|事	耳食|之|谈	耳食之言	耳食|肤受	耳食|之|谈|的|意思	耳食录	耳食之论	PAD	PAD	PAD	0.348	0.326	0.09	0.054000000000000006	0.039	0.037000000000000005	0.03	0.019	0.0	0.0	0.0
中国|电信	中国|电信业	百科	0	train	10	中国|电信网|上|营业厅	中国|电信|手机|营业厅	中国|电信|营业厅	中国|电信|电话	中国|电信|宽带	中国|电信|客服|电话	中国|电信|官网	中国|电信|爱|wifi|网络	中国|电信|掌|上|营业厅	中国|电信|套餐	PAD	0.258	0.034	0.033	0.024	0.023	0.022000000000000002	0.017	0.013000000000000001	0.011000000000000001	0.01	0.0
淘宝	爱淘宝	网站	0	train	10	淘宝网	淘宝|下载	淘宝网|首页	淘宝网|页版	淘宝网|触屏版	淘宝|评价|100|字|复制	淘宝|好评|100|字|通用|评论	淘宝|客服|电话	淘宝|评价	淘宝|刷单	PAD	0.162	0.025	0.011000000000000001	0.011000000000000001	0.008	0.006	0.006	0.005	0.005	0.005	0.0
简历	个人|简历|怎么|写|范本	经验	1	train	10	简历|模板	简历|模版	简历|自我|评价	简历|怎么|写	简历|表格	简历|模板|下载	简历|自我|介绍	简历|模板|下载|word|格式	简历|制作	简历表	PAD	0.245	0.08199999999999999	0.07400000000000001	0.053	0.044000000000000004	0.027000000000000003	0.024	0.017	0.013999999999999999	0.013999999999999999	0.0
米饭	炒米饭|的|做法	菜谱	1	train	9	米饭|怎么|做|好吃	米饭|的|做法|大全	米饭|热量	米饭|怎么|蒸	米饭|的|热量	米饭|图片	米饭|15|种|新|奇特|的|做法	米饭|配|什么|菜|好吃	米饭|小丸子	PAD	PAD	0.091	0.086	0.066	0.034	0.031	0.027000000000000003	0.019	0.019	0.013000000000000001	0.0	0.0
汽车	汽车|之|家	应用	0	train	9	汽车|之|家	汽车|之|家|2018|最新|报价	汽车|时刻表	汽车票|查询	汽车|标志|大全	汽车|之|家|官网	汽车|报价|大全	汽车|报价	汽车票	PAD	PAD	0.168	0.037000000000000005	0.023	0.021	0.02	0.017	0.016	0.01	0.009000000000000001	0.0	0.0
热水	燃气|热水器|打|不|着|火|的|原因|实例|分析|解决|图解	经验	0	train	10	热水器	热水器|哪个|牌子|好	热水器|打|不|着|火|的|原因	热水器|怎么|用	热水|循环系统	热水器|安装	热水器|怎么|清洗	热水器|维修	热水器|品牌|排行榜	热水壶	PAD	0.076	0.075	0.027999999999999997	0.025	0.019	0.013000000000000001	0.012	0.011000000000000001	0.01	0.009000000000000001	0.0
药流	药流|的|最佳|时间	健康	1	train	10	药流|的|最佳|时间	药流|和|人流|哪个|伤害|小	药流|后|注意|事项	药流|后|多久|来|月经	药流|流程	药流|多少|钱	药流|后|多少|天|干净	药流|疼|吗	药流|过程	药流|和|人流|哪个|恢复|快	PAD	0.07200000000000001	0.06	0.045	0.03	0.023	0.022000000000000002	0.022000000000000002	0.011000000000000001	0.011000000000000001	0.01	0.0
情侣	求|二|次|元|情侣|头像	知道	0	train	10	情侣|头像	情侣|网名	情侣|头像|图片	情侣|头像|一|男|一|女	情侣|头像|一|对|两|张	情侣|头像|动漫	情侣|头像|二|次|元	情侣|网名|大全	情侣|头像|集	情侣|头像|一|男|一|女|分开	PAD	0.255	0.07400000000000001	0.031	0.023	0.02	0.018000000000000002	0.017	0.017	0.013000000000000001	0.013000000000000001	0.0
酷路	兰德酷路泽	百科	0	train	10	酷路泽	酷路泽|4000	酷路|泽5700	酷路泽|fj	酷路泽|v8|价格	酷路泽|图片	酷路|泽报价	酷路泽|和|霸道|的|区别	酷路泽|价格	酷路泽|4000|价格	PAD	0.405	0.18	0.10300000000000001	0.031	0.026000000000000002	0.026000000000000002	0.017	0.013000000000000001	0.013000000000000001	0.011000000000000001	0.0
软|天空	2345|浏览器	应用	0	train	10	软天空|下载	软天空|下载|安装	软|天空	软天空|破解|游戏|盒	软天空|下载|正版	软天空|破解|版	软天空|破解|版|下载|安装	软天空|安卓|破解|游戏	软天空|官网	软天空|官方|正版|下载	PAD	0.177	0.043	0.022000000000000002	0.019	0.015	0.013999999999999999	0.013000000000000001	0.01	0.009000000000000001	0.008	0.0
郑爽	郑爽	歌手	0	train	10	郑爽|新|恋情	郑爽微博	郑爽|张恒	郑爽|图片	郑爽男|朋友	郑爽|男友|张恒	郑爽|的|电视剧	郑爽|的|书	郑爽|电视剧	郑爽|新剧	PAD	0.045	0.016	0.013000000000000001	0.01	0.009000000000000001	0.008	0.008	0.006999999999999999	0.006	0.006	0.0
金士力	金士力|佳友|有限公司	百科	1	train	10	金士力|集团	金士力|益生|菌粉	金士力|佳友	金士力|小|助手	金士力|传销|骗|我|63万	金士力|佳友|有限公司	金士力|银杏叶|滴丸	金士力肽	金士力|直销|骗局	金士力|小分子肽	PAD	0.08800000000000001	0.08	0.061	0.044000000000000004	0.036000000000000004	0.028999999999999998	0.028999999999999998	0.027999999999999997	0.025	0.024	0.0
顺风车	顺风车	应用	1	train	10	顺风|车|杀人	顺风车|拼|车	顺风车|软件	顺风车|下线	顺风车滴滴	顺风车|什么|时候|恢复	顺风车|平台	顺风车|事件	顺风车|司机	顺风车|什么|时候|上线	PAD	0.115	0.079	0.044000000000000004	0.031	0.02	0.017	0.017	0.016	0.015	0.013999999999999999	0.0
地图	高德|地图	应用	1	train	8	地图|中国	地图|导航	地图|全国	地图舌	地图|查询	地图|百度	地图|舌|图片	地图|鱼	PAD	PAD	PAD	0.106	0.094	0.015	0.006999999999999999	0.005	0.005	0.004	0.004	0.0	0.0	0.0
淘宝	手机|淘宝	应用	0	train	10	淘宝网	淘宝|下载	淘宝网|首页	淘宝网|页版	淘宝网|触屏版	淘宝|评价|100|字|复制	淘宝|好评|100|字|通用|评论	淘宝|客服|电话	淘宝|评价	淘宝|刷单	PAD	0.162	0.025	0.011000000000000001	0.011000000000000001	0.008	0.006	0.006	0.005	0.005	0.005	0.0
黄斑变	黄斑变性	健康	0	train	10	黄斑变性	黄斑变性|症状	黄斑变|性能|治|好|吗	黄斑变性|一定|会|失明|吗	黄斑变性|治疗|方法	黄斑变性|打针|能|治|好|吗	黄斑变性|怎么|治疗	黄斑变性|百度|百科	黄斑变性|吃|什么|药	黄斑变性|的|治疗	PAD	0.628	0.125	0.043	0.035	0.028999999999999998	0.02	0.019	0.018000000000000002	0.016	0.016	0.0
中关村	中关村|在线	网站	1	train	10	中关村|在线	中关村|在线|手机	中关村|手机	中关村|手机|报价	中关村|在线|手机|报价	中关村|手机|在线	中关村|手机|报价|大全	中关村|官网|官网	中关村|股票	中关村|在线|官网	PAD	0.217	0.135	0.062	0.061	0.016	0.013000000000000001	0.013000000000000001	0.012	0.01	0.006	0.0
地塞米松	地塞米松	百科	0	train	10	地塞米松|的|作用	地塞米松|磷酸钠|注液	地塞米松|的|作用|及|害处	地塞米松片	地塞米松|注射液	地塞米松|软膏	地塞米松|磷酸钠	地塞米松|磷酸钠|注射液	地塞米松片|的|作用	地塞米松|副作用	PAD	0.231	0.122	0.073	0.040999999999999995	0.026000000000000002	0.025	0.017	0.012	0.01	0.009000000000000001	0.0
顺丰|快递	顺丰|快递|如何|预约|上门|寄|件	经验	0	train	10	顺丰|快递|单号|查询	顺丰|快递|查询	顺丰|快递|查询|单号|查询	顺丰|快递|电话	顺丰|快递|单号	顺丰|快递|电话|上门|取件	顺丰|快递|单号|查询|单号	顺丰|快递|官网	顺丰|快递|运|单号|查询	顺丰|快递|单号|查询|跟踪	PAD	0.324	0.253	0.047	0.033	0.011000000000000001	0.009000000000000001	0.009000000000000001	0.006999999999999999	0.005	0.005	0.0
wp	wpsoffice|怎么|使用	知道	0	train	10	wpsoffice	wps|表格	wps|表格|怎么|制作|表格	wpsoffice|手机|版	wps|下载	wpsoffice	wps|怎么|做|表格	wpsoffice|手机|版|下载	wps|手机|版	wps|怎么|删除|空白|页	PAD	0.086	0.034	0.026000000000000002	0.018000000000000002	0.017	0.015	0.012	0.008	0.008	0.006999999999999999	0.0
一起|作业	一起|作业|网	网站	1	train	10	一起|作业|学生	一起|作业|学生端	一起|作业|网	一起|作业|学生|端|下载	一起|作业|学生版	一起|作业|网|下载	一起|作业	一起|作业|下载	一起|作业网|学生|版|下载	一起|作业|中学	PAD	0.127	0.113	0.079	0.06	0.019	0.018000000000000002	0.016	0.015	0.012	0.011000000000000001	0.0
中国|刑警	中国|刑警|学院	百科	0	train	9	中国|刑警|803	中国|刑警|学院	中国|刑警|大学	中国|刑警|803|电视剧	中国|刑警|803|演员表	中国|刑警|803|英雄|本色	中国|刑警|803|的|演员	中国|刑警|803|第二|部	中国|刑警|学院|官网	PAD	PAD	0.371	0.247	0.033	0.031	0.021	0.017	0.012	0.012	0.011000000000000001	0.0	0.0
乘法|口诀	乘法|口诀表	百科	1	train	10	乘法|口诀表	乘法|口诀表|图片	乘法|口诀儿|歌	乘法|口诀表|儿歌	乘法|口诀|视频	乘法|口诀|快速|记忆法	乘法|口诀|背诵|的|顺口溜	乘法|口诀	乘法|口诀表|好|记|方法	乘法|口诀表	PAD	0.326	0.10300000000000001	0.057999999999999996	0.027999999999999997	0.02	0.013000000000000001	0.012	0.009000000000000001	0.006	0.006	0.0
大定	大定阁	百科	0	train	10	大|定通宝	大定|风珠	大定|通宝|价格	大定|风珠方|歌	大定神朝	大定|通宝|10万|以上|图片	大定|风珠|的|功效|与|作用	大定|风珠|组成	大定|通宝|珍稀|版别|图	大定|通宝|价格表	PAD	0.242	0.161	0.14300000000000002	0.07400000000000001	0.068	0.032	0.025	0.024	0.023	0.021	0.0
丝状	丝状疣|去除	健康	0	train	10	丝状疣	丝状疣|图片	丝状疣|是|怎么|引起|的	丝状疣|初期|图片	丝状疣|如何|治疗	丝状疣|根治	丝状|疣|最佳|治疗|方法	丝状疣|是|艾滋病|潜伏期	丝状疣|用|什么|药膏|最|好	丝状庞|早期|图片	PAD	0.485	0.109	0.07	0.04	0.035	0.034	0.027000000000000003	0.017	0.011000000000000001	0.011000000000000001	0.0
儿童画	儿童画	百科	0	train	10	儿童|画画|大全	儿童|画画|大全|简单|漂亮	儿童画|图片	儿童|画画	儿童画|基础教程	儿童画|图片|大全	儿童画|大全	儿童|画画|图片|大全	儿童|画画|图片	儿童|画报	PAD	0.11	0.087	0.059000000000000004	0.033	0.033	0.013000000000000001	0.01	0.01	0.009000000000000001	0.009000000000000001	0.0
精液|发|黄	我|最近|做|爱|时|精液|发|黄	健康	0	train	9	精液|发黄|是	精液|发黄|怎么|回|事	精液|发黄|有|果冻状	精液|发|黄|是|怎么|回|事	精液|发黄|怎么办	精液|发黄|是|什么|原因	精液|发黄|正常|吗	精液|发|黄|什么|原因	精液|发|黄|百度|百科	PAD	PAD	0.425	0.006999999999999999	0.006	0.006	0.004	0.004	0.003	0.002	0.002	0.0	0.0
国民|老公	国民|老公|爱上|我	阅读	0	train	9	国民|老公|电视剧	国民|老公|带|回家	国民|老公|带|回家|小说	国民|老公|电视剧|全集	国民|老公|2	国民|老公|为什么|看|不|了	国民|老公|带|回|家|电视剧	国民|老公|小说	国民|老公|为什么|下架|了	PAD	PAD	0.132	0.114	0.078	0.026000000000000002	0.017	0.016	0.011000000000000001	0.009000000000000001	0.009000000000000001	0.0	0.0
北京|医科|大	北京|医科|大学|研究生院	百科	0	train	10	北京|医科|大学	北京|医科|大学|分数线	北京|医科|大学|东方|学院	北京|医科|大学|排名	北京|医科|大学|附属|医院	北京|医科|大学|是|几|本	北京|医科|大学|第三|院	北京|医科|大学|肿瘤|医院	北京|医科|大学|第三|医院	北京|医科|大学|有|哪些	PAD	0.62	0.17	0.021	0.017	0.016	0.009000000000000001	0.008	0.008	0.006999999999999999	0.006999999999999999	0.0
手	腾讯|手机|管家	应用	0	train	9	手|交	手机|壁纸	手抄报	手机	手|滑|摸|进|嫂嫂|内裤	手机|阅读	手机|排行榜	手足口病	手机|腾讯网	PAD	PAD	0.013999999999999999	0.013000000000000001	0.012	0.011000000000000001	0.009000000000000001	0.009000000000000001	0.006	0.005	0.005	0.0	0.0
我|和|书	我|和|书|的|故事|作文|400|字	知道	1	train	10	我|和|书|的|故事	我|和|书|的|故事|作文	我|和|书|的|故事|作文|400|字	我|和|书|的|故事|500|字	我|和|书|的|故事|300|字	我|和|书|的|故事|作文|500|字	我|和|书|的|故事|400|字	我|和|书|的|故事	我|和|书|的|故事|400|字|左右	我|和|书|的|故事|200|字	PAD	0.19699999999999998	0.158	0.155	0.068	0.052000000000000005	0.034	0.02	0.02	0.02	0.02	0.0
塞|下	塞下曲|六|首	百科	1	train	10	塞下曲	塞下曲|古诗	塞下曲|卢纶	塞下曲|其二	塞下曲|古诗|卢纶	塞下曲|卢纶带|拼音	塞下曲|卢纶	塞下曲其一	塞下曲|其|三	塞下曲|李白	PAD	0.19699999999999998	0.11599999999999999	0.092	0.092	0.038	0.037000000000000005	0.032	0.028999999999999998	0.018000000000000002	0.016	0.0
醋泡|洋葱	醋泡|洋葱|如何|降|血脂	健康	0	train	8	醋泡|洋葱|的|功效|与|作用	醋泡|洋葱|的|正确|做法	醋泡|洋葱|百度|百科	醋泡|洋葱|哪些|人|不|能|吃	醋泡|洋葱|的|做法	醋泡|洋葱|花生米|的|做法	醋泡|洋葱|能|降|血糖|吗	醋泡|洋葱|可以|天天|吃|吗	PAD	PAD	PAD	0.304	0.126	0.02	0.02	0.015	0.011000000000000001	0.011000000000000001	0.008	0.0	0.0	0.0
安居	安居客	百科	0	train	10	安居客	安居客|上海	安居乐业	安居网	安居客|重庆	安居|山林|当|猎户|小说	安居客|北京	安居|山林|当|猎户	安居客|合肥	安居乐业|的|意思	PAD	0.585	0.019	0.019	0.016	0.013999999999999999	0.012	0.011000000000000001	0.01	0.009000000000000001	0.009000000000000001	0.0
宫炎康	苗泰宫|炎康|颗粒	百科	0	train	10	宫炎康|颗粒	宫炎康|胶囊	宫炎康|颗粒|治|什么|病	宫炎康|颗粒|几|盒|一|疗程	宫炎康|颗粒|多少|钱|一|盒	宫炎康|胶囊|多少|钱|一|盒	宫炎|康片|的|功效|与|作用	宫炎康|颗粒|月经|能|吃|吗	宫炎康|颗粒|的|功效	宫炎康|颗粒|经期|能|吃|吗	PAD	0.451	0.183	0.124	0.035	0.027000000000000003	0.02	0.018000000000000002	0.017	0.015	0.015	0.0
淘宝	手机|淘宝	应用	1	train	10	淘宝网	淘宝|下载	淘宝网|首页	淘宝网|页版	淘宝网|触屏版	淘宝|评价|100|字|复制	淘宝|好评|100|字|通用|评论	淘宝|客服|电话	淘宝|评价	淘宝|刷单	PAD	0.162	0.025	0.011000000000000001	0.011000000000000001	0.008	0.006	0.006	0.005	0.005	0.005	0.0
广东|肠粉	广东|肠粉|的|做法	菜谱	1	train	10	广东|肠粉|的|做法	广东|肠粉|培训	广东|肠粉|图片	广东|肠粉|酱汁|配方|做法	广东|肠粉机	广东|肠粉|的|做法|视频	广东|肠粉|怎么|做	广东|肠粉|加盟	广东|肠粉|酱汁|的|做法	广东|肠粉机|价格|600|元	PAD	0.21899999999999997	0.152	0.085	0.037000000000000005	0.027000000000000003	0.026000000000000002	0.025	0.016	0.015	0.01	0.0
汽车	汽车|之|家	应用	0	train	9	汽车|之|家	汽车|之|家|2018|最新|报价	汽车|时刻表	汽车票|查询	汽车|标志|大全	汽车|之|家|官网	汽车|报价|大全	汽车|报价	汽车票	PAD	PAD	0.168	0.037000000000000005	0.023	0.021	0.02	0.017	0.016	0.01	0.009000000000000001	0.0	0.0
轻盈	轻盈|的|意思|是|什么	知道	1	train	9	轻盈|的|拼音	轻盈|的|近|义词	轻盈|的|反义词	轻盈|的|意思|是|什么	轻盈|造|句	轻盈|拼音	轻盈|意思	轻盈|的|读音	轻盈|的|拼音|是|什么	PAD	PAD	0.136	0.08800000000000001	0.06	0.034	0.015	0.013999999999999999	0.012	0.011000000000000001	0.011000000000000001	0.0	0.0
汽车	汽车|之|家	网站	1	train	9	汽车|之|家	汽车|之|家|2018|最新|报价	汽车|时刻表	汽车票|查询	汽车|标志|大全	汽车|之|家|官网	汽车|报价|大全	汽车|报价	汽车票	PAD	PAD	0.168	0.037000000000000005	0.023	0.021	0.02	0.017	0.016	0.01	0.009000000000000001	0.0	0.0
