prefix	title	tag	label	flag	num	text_1	text_2	text_3	text_4	text_5	text_6	text_7	text_8	text_9	text_10	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
苦瓜|汤	苦瓜|汤|的|做法	菜谱	1	train	10	苦瓜|汤|的|做法	苦瓜|汤|的|做法|大全	苦瓜|汤|的|功效	苦瓜|汤|怎么|做	苦瓜|汤|为什么|要放|黄豆	苦瓜|汤|的|功效|与|作用	苦瓜|汤|怎么|做|不苦	苦瓜|汤|的|家常|做法	苦瓜|汤|百度|百科	苦瓜|汤|的|做法|大|全家|常	0.354	0.114	0.075	0.027	0.012	0.011	0.011	0.008	0.005	0.005
柳州|螺蛳|粉	螺|飘香|柳州|螺蛳|粉	百科	1	train	10	柳州|螺蛳|粉|加盟	柳州|螺蛳|粉|图片	柳州|螺蛳|粉|十大|牌子	柳州|螺蛳|粉|培训	柳州|螺蛳|粉|汤料|配方	柳州|螺蛳|粉|图片|大全	柳州|螺蛳|粉|的|做法	柳州|螺蛳|粉|配料	柳州|螺蛳|粉|前十名	柳州|螺蛳|粉|哪家|最|正宗	0.077	0.076	0.049	0.040	0.018	0.014	0.014	0.014	0.013	0.013
品味	品味|的|近义词	知道	1	train	9	品味|的|近义词	品味|的|意思	品味|人生	品味|阅读|小说	品味|观|天下|新浪|博客	品味|经典|图书	品味|生活	品味|是|什么|意思	品味|书香|诵读|经典|征文	PAD	0.080	0.075	0.055	0.035	0.028	0.020	0.018	0.016	0.016	0.000
混世	混世|小|农民	百科	1	train	10	混世|小|农民	混世|小|农民|马|小乐|全集	混世|刁民	混世|小|刁民	混世|四猴	混世|小|农民|马|小乐	混世|小|神棍	混世|小|农民|小|农民	混世|矿工	混世|刁民|全文|阅读	0.160	0.104	0.061	0.052	0.042	0.039	0.025	0.020	0.019	0.016
招联	招联好|期贷	应用	1	train	10	招联|金融	招联好|期贷	招联|金融|app|下载	招联|金融|客服|电话|多少	招联|金融|贷款|可靠|吗	招联好|期贷|怎么样	招联|金融|客服|电话	招联好|期贷|是|正规|的|吗	招联|金融|逾期|会|怎么样	招联好|期贷|客服|电话	0.215	0.129	0.054	0.042	0.027	0.021	0.017	0.016	0.016	0.013
丸	丸子|汤|的|做法	菜谱	1	train	10	丸子|头|怎么|扎	丸子|头	丸子|头扎法|步骤|图解	丸子|的|做法	丸子|汤|的|家常|做法	丸子|汤	丸|美	丸|美|化妆品|怎么样	丸子|头|图片	丸|美官|网	0.155	0.120	0.063	0.041	0.033	0.029	0.025	0.022	0.022	0.017
胸外	胸外科	百科	0	train	10	胸外|心脏|按压	胸外|扩	胸外科|是|看|什么|病|的	胸外|扩|咋办	胸外科	胸外|按压	胸外|扩|如何|矫正	胸外|按压|视频	胸外|扩|的|照片	胸外|按压|部位	0.095	0.078	0.065	0.057	0.057	0.051	0.047	0.035	0.029	0.029
手术|后|不能|吃	手术|后|不能|吃|什么	健康	0	train	8	手术|后|不能|吃|什么	手术|后|不能|吃|的|发物	手术|后|不能|吃|的|食物	手术|后|不能|吃|什么|发物	手术|后|不能|吃|什么|水果	手术|后|不能|吃|什么|东西	手术|后|不能|吃|的|东西	手术|后|不能|吃|哪些|水果	PAD	PAD	0.447	0.178	0.170	0.091	0.047	0.026	0.025	0.015	0.000	0.000
简历	超级|简历|模板|制作	应用	1	train	10	简历|模板	简历|模版	简历|自我|评价	简历|怎么|写	简历|表格	简历|模板|下载	简历|自我介绍	简历|模板|下载|word|格式	简历|制作	简历表	0.245	0.082	0.074	0.053	0.044	0.027	0.024	0.017	0.014	0.014
uu	UU|加速器	应用	1	train	9	uu|加速器	uu|加速器|下载	uu|加速器|怎么|下载|游戏	uu898	uu|加|加速器	uu|跑腿	uu|加速|器官|网	uu|小说	uu|手游|加速器|下载	PAD	0.345	0.085	0.043	0.042	0.022	0.020	0.016	0.013	0.009	0.000
美美|哒	美美|哒	音乐	1	train	10	美美|哒|广场|舞	美美|哒|舞蹈|视频	美美|哒|歌曲	美美|哒|歌词	美美|哒|广场|舞|视频	美美|哒|正版|舞蹈	美美|哒|广场|舞|视频|大全	美美|哒|舞蹈|视频|大全	美美|哒|广场|舞|视频|2017	美美|哒|图片	0.277	0.079	0.079	0.042	0.041	0.030	0.021	0.013	0.012	0.011
自考	成考|和|自考|的|区别	经验	1	train	10	自考|报名|入口	自考|本科	自考|学历	自考|本科专业|一览表	自考|本科专业	自考|本科文凭	自考|网上|报名	自考|报名|时间	自考|本科|含金量|高|吗	自考|网上|报考	0.085	0.075	0.062	0.049	0.038	0.035	0.029	0.028	0.024	0.022
药流	药流|的|最佳|时间	健康	0	train	10	药流|的|最佳|时间	药流|和|人流|哪个|伤害|小	药流后|注意事项	药流后|多久|来|月经	药流|流程	药流|多少|钱	药流后|多少|天|干净	药流|过程	药流|疼|吗	药流|和|人流|哪个|恢复|快	0.072	0.060	0.045	0.030	0.023	0.022	0.022	0.011	0.011	0.010
大王	腾讯|大王|卡官|网	网站	0	train	10	大王|饶命	大王|饶命|小说	大王|叫|我|来|巡山	大王|卡	大王|卡免|流量|的|应用	大王|卡|套餐|介绍	大王|卡|怎么|注销	大王|绕命	大王|叫|我|来|巡山|舞蹈	大王|叫|我|来|巡山|歌曲	0.599	0.055	0.031	0.030	0.023	0.011	0.008	0.006	0.006	0.005
鱼腥	鱼腥草|功效	健康	0	train	10	鱼腥草	鱼腥草|的|功效|与|作用	鱼腥草|图片	鱼腥草|泡水|喝|的|功效	鱼腥草|的|功效|与|禁忌	鱼腥草|怎么|吃	鱼腥草|滴眼液	鱼腥草|根	鱼腥草|什么|人|不能|吃	鱼腥草|口服液	0.299	0.277	0.057	0.020	0.017	0.015	0.014	0.010	0.010	0.010
金贵	金贵|肾气|丸|吃|多久	健康	0	train	10	金贵|肾气|丸	金贵|银业	金贵|肾气|丸|主要|功效	金贵晟	金贵|银业|股票	金贵|银业|股|吧	金贵|肾气|丸|多少|钱	金贵|肾气|丸|的|功效	金贵|银业|最新消息	金贵|肾气|丸|女人|能|吃|吗	0.382	0.081	0.072	0.066	0.052	0.036	0.024	0.015	0.012	0.010
杜牧	杜牧诗	百科	1	train	9	杜牧|的|诗	杜牧|简介	杜牧|清明	杜牧|秋夕	杜牧|的|诗|全集	杜牧|的|诗|有|哪些	杜牧|山行	杜牧|寄|扬州|韩绰|判官	杜牧|赤壁	PAD	0.097	0.071	0.054	0.045	0.033	0.031	0.023	0.020	0.016	0.000
吉利	汽车报价|大全	应用	0	train	10	吉利|博越	吉利|帝豪	吉利|远景	吉利|汽车	吉利|帝豪|gs	吉利|博瑞	吉利|远景|x3	吉利|缤瑞	吉利|新车|上市	吉利|远景|x6	0.053	0.052	0.045	0.039	0.027	0.022	0.018	0.018	0.016	0.016
汽车	汽车|之|家	网站	1	train	9	汽车|之|家	汽车|之家|2018|最新|报价	汽车|时刻表	汽车票|查询	汽车|标志|大全	汽车|之家|官网	汽车报价|大全	汽车报价	汽车票	PAD	0.168	0.037	0.023	0.021	0.020	0.017	0.016	0.010	0.009	0.000
月经|后	月经|后|几天|是|排卵期	经验	0	train	10	月经|后|几天|是|排卵期	月经|后|几天|是|安全期	月经|后|几天|可以|同房	月经|后|褐色|分泌物	月经|后|几天|容易|怀孕	月经|后|有|褐色|分泌物	月经|后|两天|居然|怀孕|了	月经|后|一天|居然|怀孕	月经|后|6|天是|危险期|吗	月经|后|几天|排卵	0.153	0.135	0.063	0.045	0.022	0.019	0.013	0.012	0.009	0.009
西安|旅游	西安|旅游|攻略	知道	1	train	10	西安|旅游|攻略	西安|旅游景点	西安|旅游景点|大全	西安|旅游|攻略|3|天	西安|旅游|地图	西安|旅游|股票	西安|旅游景点|大全|介绍	西安|旅游|攻略|5|天	西安|旅游|必去|景点	西安|旅游|路线	0.516	0.117	0.035	0.011	0.010	0.008	0.006	0.005	0.004	0.004
黄冈|小状	黄冈|小|状元|作业本	商品	0	train	10	黄冈|小|状元	黄冈|小|状元|作业本	黄冈|小|状元|答案|大全	黄冈|小|状元|达标|卷	黄冈|小|状元|二年级|上册	黄冈|小|状元|二年级	黄冈|小|状元|一年级	黄冈|小|状元|作业本|答案	黄冈|小|状元|暑假作业	黄冈|小|状元|一年级|上册	0.339	0.167	0.121	0.102	0.049	0.034	0.031	0.023	0.021	0.018
56|个	56|个|民族	百科	1	train	10	56|个|民族	56|个|民族|名称	56|个|民族|有|哪些	56|个|名族	56|个|民族|图片	56|个|民族服饰|图片|大全	56|个|名族|有|哪些	56|个|民族服饰	56|个|国家|国旗|图片	56|个|民族|娃娃|简笔画	0.184	0.172	0.071	0.063	0.042	0.036	0.033	0.031	0.018	0.016
汽	汽车|之|家	应用	0	train	9	汽车|之|家	汽车|之家|2018|最新|报价	汽车	汽车|时刻表	汽车票|查询	汽车|标志|大全	汽车报价|大全	汽车|之家|官网	汽车报价	PAD	0.160	0.035	0.023	0.022	0.020	0.019	0.016	0.016	0.009	0.000
汽车	汽车|之|家	快应用	0	train	9	汽车|之|家	汽车|之家|2018|最新|报价	汽车|时刻表	汽车票|查询	汽车|标志|大全	汽车|之家|官网	汽车报价|大全	汽车报价	汽车票	PAD	0.168	0.037	0.023	0.021	0.020	0.017	0.016	0.010	0.009	0.000
wp	WPSOffice	应用	1	train	10	wpsoffice	wps|表格	wps|表格|怎么|制作|表格	wpsoffice|手机|版	wps|下载	wpsoffice	wps|怎么|做|表格	wps|手机|版	wpsoffice|手机|版|下载	wps|怎么|删除|空白页	0.086	0.034	0.026	0.018	0.017	0.015	0.012	0.008	0.008	0.007
一起|作业	一起|作业	百科	1	train	10	一起|作业|学生	一起|作业|学生|端	一起|作业|网	一起|作业|学生|端|下载	一起|作业|学生|版	一起|作业|网|下载	一起|作业	一起|作业|下载	一起|作业|网|学生|版|下载	一起|作业|中学	0.127	0.113	0.079	0.060	0.019	0.018	0.016	0.015	0.012	0.011
中国|刑警	中国|刑警|803	影视	1	train	9	中国|刑警|803	中国|刑警|学院	中国|刑警|大学	中国|刑警|803|电视剧	中国|刑警|803|演员表	中国|刑警|803|英雄本色	中国|刑警|803|第二部	中国|刑警|803|的|演员	中国|刑警|学院|官网	PAD	0.371	0.247	0.033	0.031	0.021	0.017	0.012	0.012	0.011	0.000
血糖	血糖|正常值	健康	1	train	10	血糖|正常值	血糖高|吃|什么|好	血糖高|的|症状	血糖高	血糖|低|的|症状|有|哪些	血糖高|咋办	血糖高|吃|什么|水果	血糖高|不能|吃|什么	血糖高|怎么办	血糖高|吃|什么|水果|好	0.160	0.069	0.047	0.020	0.019	0.016	0.013	0.012	0.009	0.007
秦观	秦观|词集	阅读	1	train	10	秦观|鹊桥|仙|·|纤云弄巧	秦观|八六子|·|倚|危亭	秦观|鹊桥|仙	秦观|最|出名|的|诗词	秦观|简介	秦观|的|鹊桥|仙|原文	秦观|最|出名|的|十首|诗	秦观|浣溪沙	秦观|纳凉	秦观|踏莎行	0.251	0.135	0.098	0.047	0.021	0.013	0.013	0.010	0.010	0.009
胃酸	胃酸|怎么办	健康	1	train	10	胃酸|怎么办	胃酸过多|吃|什么|好	胃酸过多	胃酸|的|原因	胃酸|吃|什么|药	胃酸|吃|什么|能|马上|缓解	胃酸|的|症状	胃酸|吃|什么|好	胃酸过多|怎么办	胃酸|吃|什么	0.138	0.123	0.073	0.036	0.031	0.030	0.024	0.020	0.020	0.020
叽里呱啦	英语|流利|说	应用	0	train	10	叽里呱啦|学|英语|手机|版	叽里呱啦|学|英语	叽里呱啦|英语|怎么样	叽里呱啦|儿童|学|英语	叽里呱啦|学|英语|下载	叽里呱啦|破解版	叽里呱啦|说|一堆|的|符号	叽里呱啦|学|英语|app	叽里呱啦	叽里呱啦|课程|值得|买|吗	0.222	0.140	0.058	0.028	0.024	0.018	0.017	0.017	0.015	0.014
军衔	军衔	百科	1	train	10	军衔|等级|排名	军衔|等级|肩章|排列|图片	军衔|等级	军衔|图片	军衔|等级|排名|图片	军衔|等级|排名|从小到大	军衔|对应|的|军职	军衔|等级|图片	军衔|肩章	军衔|级别	0.241	0.077	0.044	0.032	0.019	0.017	0.010	0.007	0.006	0.004
小炒|肉	小炒|肉|的|做法	菜谱	1	train	10	小炒|肉|的|做法	小炒|肉|图片	小炒|肉|作品	小炒|肉|怎么|做	小炒|肉|小说	小炒|肉|作品集	小炒|肉|的|家常|做法	小炒|肉|保健室|的|秘密	小炒|肉|做法	小炒|肉|怎么|做|好吃	0.399	0.021	0.019	0.019	0.015	0.014	0.013	0.009	0.009	0.008
瓜子	瓜子|二手车	应用	0	train	9	瓜子|二手车|直卖|网	瓜子|二手车	瓜子脸|适合|什么|发型	瓜子|网	瓜子|车|二手车	瓜子|二手车|网直|卖网	瓜子|车|二手	瓜子|头	瓜子|头发|型	PAD	0.342	0.104	0.022	0.022	0.022	0.021	0.018	0.018	0.014	0.000
白洋	白洋淀	景点	1	train	10	白洋淀	白洋淀|景区	白洋淀|在|哪里	白洋淀|天气	白洋淀|门票	白洋淀|攻略	白洋淀|荷花|大观园|旅游	白洋淀|纪事|读后感	白洋淀|旅游|攻略	白洋淀|旅游	0.194	0.074	0.053	0.045	0.043	0.037	0.037	0.017	0.015	0.013
wwwcn	中国|寻人|网	网站	0	train	8	wwwcn1069netforumindexphp	wwwcn3369com	wwwcn12365org	wwwcnkinet	wwwcnsegovcn	wwwcncaibacn	wwwcnncomeditioncnncom	wwwcntaipingcom	PAD	PAD	0.070	0.039	0.033	0.024	0.023	0.021	0.019	0.019	0.000	0.000
小儿|推	小儿|推拿	百科	0	train	10	小儿|推拿	小儿|推拿|咳嗽|手法|图解	小儿|推拿|培训	小儿|推拿|退烧	小儿|推拿|退烧|六步|图	小儿|推拿|视频	小儿|推拿|基本|手法	小儿|推拿|的|危害	小儿|推拿|职业培训	小儿|推拿|有用吗	0.167	0.052	0.044	0.044	0.032	0.029	0.027	0.019	0.016	0.015
桃花	桃花岛|宝盒|直播|Rose	应用	0	train	9	桃花|依旧|笑|春风|电视剧	桃花|依旧|笑|春风	桃花岛|宝盒	桃花源记	桃花村|的|女人	桃花|眼	桃花|宝典	桃花村|淫妇	桃花岛|直播|宝盒	PAD	0.066	0.053	0.032	0.030	0.026	0.026	0.025	0.020	0.018	0.000
百	橘子|树|嫁接|2C|方法|2C|百度|一下	知道	0	train	10	百度|一下	百度	百度|翻译	百度|地图	百世|快递|单|号|查询	百世|快递	百度|贴|吧	百度网|盘	百度|翻译|在线翻译	百姓网	0.809	0.051	0.010	0.006	0.005	0.003	0.002	0.002	0.002	0.002
醉	醉|赤壁	音乐	0	train	8	醉翁亭记	醉梦|前尘	醉翁亭记|原文	醉翁亭记|翻译	醉|赤壁	醉|玲珑	醉|千年	醉|千年|李袁杰	PAD	PAD	0.113	0.031	0.029	0.024	0.019	0.017	0.017	0.010	0.000	0.000
黄历	老黄历	百科	0	train	9	黄历|吉日|查询|2018	黄历|查询	黄历|吉日|查询	黄历|2018	黄历|天气	黄历|吉日|查询|2018|搬家	黄历|网	黄历|万年历|吉日|吉时	黄历|万年历	PAD	0.406	0.067	0.016	0.011	0.010	0.006	0.005	0.004	0.004	0.000
广东|肠粉	前程无忧	应用	0	train	10	广东|肠粉|的|做法	广东|肠粉|培训	广东|肠粉|图片	广东|肠粉|酱汁|配方|做法	广东|肠粉|机	广东|肠粉|的|做法|视频	广东|肠粉|怎么|做	广东|肠粉|加盟	广东|肠粉|酱汁|的|做法	广东|肠粉|机|价格|600|元	0.219	0.152	0.085	0.037	0.027	0.026	0.025	0.016	0.015	0.010
百	百度|一下	网站	0	train	10	百度|一下	百度	百度|翻译	百度|地图	百世|快递|单|号|查询	百世|快递	百度|贴|吧	百度网|盘	百度|翻译|在线翻译	百姓网	0.809	0.051	0.010	0.006	0.005	0.003	0.002	0.002	0.002	0.002
微粒|贷	微信|借钱|微粒|贷|怎么|开通|微信|借钱|怎么|申请|借款	经验	1	train	10	微粒|贷|怎么|开通	微粒|贷|利息	微粒|贷|开通|技巧	微粒|贷是|什么	微粒|贷|怎么样	微粒|贷|借钱	微粒|贷|骗局|一环接|一环	微粒|贷|如何|开通	微粒|贷|开通	微粒|贷|额度	0.239	0.025	0.024	0.015	0.015	0.014	0.014	0.012	0.012	0.011
快	快|看|漫画	应用	0	train	8	快递|单|号|查询	快递|查询	快递|查询|单|号	快手	快乐|大本营	快|把|我哥|带走	快递|查|单询	快递	PAD	PAD	0.099	0.059	0.031	0.025	0.017	0.012	0.011	0.011	0.000	0.000
袁阔成	袁阔成	百科	1	train	10	袁阔成|三国演义|365|回	袁阔成|三国演义|365|)|回	袁阔成|评书|网	袁阔成|三国演义	袁阔成|评书|大全	袁阔成|评书|三国演义	袁阔成|评书	袁阔成|封神演义	袁阔成|封神演义|全|200|回	袁阔成|水泊梁山	0.247	0.093	0.074	0.063	0.057	0.050	0.035	0.022	0.014	0.014
脾虚	脾虚|证	百科	0	train	10	脾虚|的|症状	脾虚|如何|调理	脾虚|吃|什么	脾虚|吃|什么|药	脾虚|怎么|调理	脾虚|吃|什么|食物|补|最快	脾虚|湿盛	脾虚|怎么办	脾虚|的|症状|有|哪些|表现	脾虚|的|症状|及|调理	0.288	0.092	0.040	0.031	0.028	0.024	0.021	0.013	0.009	0.008
快	快|对|作业	应用	0	train	8	快递|单|号|查询	快递|查询	快递|查询|单|号	快手	快乐|大本营	快|把|我哥|带走	快递|查|单询	快递	PAD	PAD	0.099	0.059	0.031	0.025	0.017	0.012	0.011	0.011	0.000	0.000
阳光|彩虹	阳光|彩虹|小|白马	百科	0	train	10	阳光|彩虹|小|白马	阳光|彩虹|小|白马|歌词	阳光|彩虹|小|白马|大张伟	阳光|彩虹|小|白马|歌曲	阳光|彩虹|小|白马|手势|舞	阳光|彩虹|小|白马|图片	阳光|彩虹|小|白马|舞蹈	阳光|彩虹|小|白马	阳光|彩虹|小|白马|简谱	阳光|彩虹|小|白马|铃声	0.522	0.160	0.126	0.022	0.017	0.015	0.015	0.014	0.011	0.008
快	快手	应用	1	train	8	快递|单|号|查询	快递|查询	快递|查询|单|号	快手	快乐|大本营	快|把|我哥|带走	快递|查|单询	快递	PAD	PAD	0.099	0.059	0.031	0.025	0.017	0.012	0.011	0.011	0.000	0.000
快	快递|单|号|查询	百科	0	train	8	快递|单|号|查询	快递|查询	快递|查询|单|号	快手	快乐|大本营	快|把|我哥|带走	快递|查|单询	快递	PAD	PAD	0.099	0.059	0.031	0.025	0.017	0.012	0.011	0.011	0.000	0.000
眼保	眼保健操	音乐	1	train	10	眼保健操	眼保健操|视频	眼保健操|怎么|做	眼保健操|的|正确|做法|图	眼保健操|音乐	眼保健操|图解	眼|保健|按摩	眼保健操|步骤	眼保健操|视频|正确|做法	眼保健操|的|正确|步骤	0.282	0.142	0.110	0.080	0.075	0.034	0.034	0.022	0.016	0.015
快	快手	应用	1	train	8	快递|单|号|查询	快递|查询	快递|查询|单|号	快手	快乐|大本营	快|把|我哥|带走	快递|查|单询	快递	PAD	PAD	0.099	0.059	0.031	0.025	0.017	0.012	0.011	0.011	0.000	0.000
快	快|看|漫画	应用	0	train	8	快递|单|号|查询	快递|查询	快递|查询|单|号	快手	快乐|大本营	快|把|我哥|带走	快递|查|单询	快递	PAD	PAD	0.099	0.059	0.031	0.025	0.017	0.012	0.011	0.011	0.000	0.000
